ArrivalTime,Key,NoteType
0.4,D,Normal
0.6,F,
0.8,Space,
1,J,
1.2,K,
1.4,Space,
1.6,J,
1.8,K,
2,D,
2.2,F,
2.4,Space,
2.6,J,
2.8,K,
3,J,
3.2,K,
3.4,D,
3.6,F,
3.8,D,
4,F,
4.2,Space,
4.4,Space,
4.6,J,
4.8,J,
5,K,
5.2,K,
5.4,D,
5.6,D,
5.8,F,
6,F,
6.2,K,
6.4,J,
6.6,Space,
6.8,F,
7,D,
7.2,F,
7.4,Space,
7.6,J,
7.8,K,
8,Space,
8.2,Space,
8.4,K,
8.6,K,
8.8,D,
9,D,
9.2,F,
9.4,F,
9.6,J,
9.8,J,
10,D,
10,Space,
10.4,K,
10.4,Space,
10.8,F,
10.8,J,
11.2,D,
11.4,F,
11.6,J,
11.8,K,
12,J,
12.2,F,
12.4,D,
12.6,Space,
12.8,Space,
13,J,
13.2,K,
13.4,F,
13.6,D,
13.8,Space,
14,K,
14.2,J,
14.4,D,
14.6,Space,
14.8,K,
15,Space,
15.2,J,
15.4,K,
15.6,D,
15.8,F,
16,Space,
16.2,Space,
16.4,F,
16.6,D,
16.8,J,
17,K,
17.2,D,
17.4,D,
17.6,F,
17.8,F,
18,Space,
18.2,Space,
18.4,J,
18.6,J,
18.8,K,
19,K,
19.2,J,
19.4,Space,
19.6,F,
19.8,D,
20,F,
20.2,Space,
20.4,J,
20.6,K,
20.8,J,
21,Space,
21.2,F,
21.4,D,
21.6,F,
21.8,Space,
22,J,
22.2,K,
22.6,D,
22.6,Space,
23,F,
23,Space,
23.4,J,
23.4,Space,
23.8,K,
23.8,Space,
24,K,
24.2,J,
24.4,F,
24.6,D,
24.8,J,
25,K,
25.2,J,
25.4,K,
25.6,D,
25.8,F,
26,D,
26.2,F,
26.4,Space,
26.6,Space,
26.8,D,
27,F,
27.2,D,
28,Space,
28.4,K,
28.7,J,
29,Space,
29.3,F,
29.6,D,
29.9,F,
30.2,Space,
30.5,J,
30.8,K,
31.1,J,
31.4,Space,
31.7,F,
32,D,
32.3,F,
32.6,Space,
32.9,J,
33.2,K,
33.5,D,
33.5,F,
34.1,J,
34.1,K,
34.7,D,
35,D,Long
35.1,D,Long
35.2,D,Long
35.3,D,Long
35.4,D,Long
35.5,D,Long
35.5,J,Normal
35.6,D,Long
35.7,D,Long
35.8,D,Long
35.9,K,Normal
35.9,D,Long
36,D,Long
37,F,Long
37.1,F,Long
37.2,F,Long
37.3,F,Long
37.4,F,Long
37.5,F,Long
37.6,J,Normal
37.6,F,Long
37.7,F,Long
37.8,F,Long
37.9,K,Normal
37.9,F,Long
38,F,Long
41.6,Space,
41.9,Space,
42.2,J,
42.5,J,
42.8,K,
43.1,K,
43.4,D,
43.7,F,
44,Space,
44.3,J,
44.6,K,
44.9,J,
45.2,K,
45.5,J,
45.8,K,
46.1,D,
46.4,F,
46.7,D,
47,F,
47.3,Space,
47.6,Space,
47.9,D,
48.2,D,
48.5,D,
48.8,F,
49.1,F,
49.4,F,
49.7,Space,
50,Space,
50.3,Space,
50.6,J,
50.9,J,
51.2,J,
51.5,K,
51.8,K,
52.1,K,
52.7,D,
52.7,K,
53,F,
53,J,
53.6,F,
