ArrivalTime,Key,NoteType
17,Space,Normal
17,F,Normal
17,J,Normal
17.5,D,Normal
18,F,Normal
19.5,J,Normal
20,K,Normal
21.4,Space,Normal
21.8,D,Normal
22.2,J,Normal
22.6,F,Normal
23,K,Normal
23.4,D,Normal
23.8,F,Normal
24.2,Space,Normal
24.6,J,Normal
25,K,Normal
25.4,K,Normal
25.8,J,Normal
26.2,Space,Normal
26.6,F,Normal
27,D,Normal
27.4,F,Normal
27.4,J,Normal
28.2,Space,Normal
28.2,Space,Normal
29,Space,Normal
29.4,D,Normal
29.8,F,Normal
30.2,J,Normal
30.6,K,Normal
31,F,Normal
31,Space,Normal
31.8,J,Normal
31.8,Space,Normal
32.6,D,Normal
33,J,Normal
33.4,F,Normal
33.8,K,Normal
34.2,J,Normal
34.6,F,Normal
35,K,Normal
35.4,D,Normal
35.8,J,Normal
36.2,F,Normal
36.6,J,Normal
37,D,Normal
37.4,K,Normal
37.8,Space,Normal
38.2,Space,Normal
38.6,D,Normal
39,D,Normal
39.4,J,Normal
39.8,J,Normal
40.2,F,Normal
40.6,F,Normal
41,K,Normal
41.4,K,Normal
41.8,Space,Normal
42.2,Space,Normal
43,D,Normal
43,K,Normal
43.4,F,Normal
43.4,J,Normal
44.2,F,Normal
44.2,Space,Normal
45,D,Normal
45.4,F,Normal
45.8,J,Normal
46.2,K,Normal
46.6,J,Normal
47,F,Normal
47.4,D,Normal
47.8,Space,Normal
48.2,Space,Normal
48.6,Space,Normal
49,J,Normal
49.4,J,Normal
49.8,J,Normal
50.2,K,Normal
50.6,K,Normal
51,K,Normal
51.4,F,Normal
51.8,F,Normal
52.2,F,Normal
52.6,D,Normal
53,D,Normal
53.4,D,Normal
53.8,J,Normal
54.2,K,Normal
54.6,J,Normal
55,K,Normal
55.4,D,Normal
55.8,F,Normal
56.2,D,Normal
56.6,F,Normal
57,Space,Normal
57.4,J,Normal
57.8,K,Normal
58.2,D,Normal
58.6,F,Normal
59,K,Normal
62,K,Normal
62.4,K,Normal
62.8,J,Normal
63.2,J,Normal
63.6,D,Normal
64,F,Normal
64.4,Space,Normal
64.8,J,Normal
65.2,K,Normal
65.6,D,Normal
66,F,Normal
66.4,Space,Normal
66.8,J,Normal
67.2,K,Normal
67.6,K,Normal
68,J,Normal
68.4,Space,Normal
68.8,F,Normal
69.2,D,Normal
69.6,D,Normal
70,F,Normal
70.4,Space,Normal
70.8,J,Normal
71.2,K,Normal
71.6,J,Normal
72,J,Normal
72.4,F,Normal
72.8,F,Normal
73.2,D,Normal
73.6,D,Normal
74,K,Normal
74.4,K,Normal
76,Space,Normal
76,F,Normal
76,J,Normal
78,Space,Normal
78,F,Normal
78,J,Normal
80,D,Normal
80,F,Normal
81,J,Normal
81,K,Normal
84,Space,Normal
84,F,Normal
84,J,Normal
86,Space,Normal
86,F,Normal
86,J,Normal
87,D,Normal
87.4,F,Normal
87.8,Space,Normal
88.2,J,Normal
88.6,K,Normal
89,D,Normal
89.4,F,Normal
89.8,Space,Normal
91,K,Normal
91.4,J,Normal
91.8,Space,Normal
92.2,F,Normal
92.6,F,Normal
93,D,Normal
93.4,D,Normal
93.8,J,Normal
94.2,J,Normal
94.6,K,Normal
95,K,Normal
95.4,Space,Normal
95.8,Space,Normal
96.2,Space,Normal
96.6,Space,Normal
97.4,D,Normal
97.4,F,Normal
97.8,J,Normal
97.8,K,Normal
98.2,D,Normal
98.2,F,Normal
98.6,J,Normal
98.6,K,Normal
99.2,Space,Long
99.4,Space,Long
99.6,Space,Long
99.8,Space,Long
100,Space,Long
101,D,Long
101.2,D,Long
101.4,D,Long
101.6,D,Long
101.8,D,Long
102,D,Long
104.6,J,Normal
105,J,Normal
105.4,K,Normal
105.8,K,Normal
106.2,Space,Normal
106.6,Space,Normal
107,D,Normal
107.4,D,Normal
107.8,F,Normal
108.2,F,Normal
108.6,K,Normal
109,J,Normal
109.4,Space,Normal
109.8,F,Normal
110.2,D,Normal
110.6,F,Normal
111,Space,Normal
111.4,J,Normal
111.8,K,Normal
113,Space,Normal
113.4,Space,Normal
113.8,D,Normal
114.2,D,Normal
114.6,J,Normal
115,J,Normal
115.4,K,Normal
115.8,K,Normal
116.2,F,Normal
116.6,F,Normal
117,Space,Normal
117.4,Space,Normal
117.8,D,Normal
118.2,F,Normal
118.6,Space,Normal
119,J,Normal
119.4,K,Normal
119.8,J,Normal
120.2,Space,Normal
120.6,F,Normal
121,D,Normal
121.4,F,Normal
121.8,Space,Normal
122.2,J,Normal
122.6,K,Normal
123,D,Normal
123,J,Normal
123.8,F,Normal
123.8,K,Normal
124.6,Space,Normal
125,J,Normal
125.4,J,Normal
125.8,Space,Normal
126.2,Space,Normal
126.6,J,Normal
127,K,Normal
127.4,D,Normal
127.8,F,Normal
128.2,Space,Normal
128.6,F,Normal
129,D,Normal
129.4,J,Normal
129.8,K,Normal
130.2,K,Normal
130.6,J,Normal
131,J,Normal
131.4,D,Normal
131.8,F,Normal
132.2,D,Normal
132.6,F,Normal
133,Space,Normal
135,D,Normal
135.4,F,Normal
135.8,Space,Normal
136.2,J,Normal
136.6,K,Normal
137,J,Normal
137.4,Space,Normal
137.8,F,Normal
138.2,D,Normal
138.6,F,Normal
139,Space,Normal
139.4,J,Normal
139.8,K,Normal
140.2,Space,Normal
140.6,Space,Normal
141,D,Normal
141.4,D,Normal
141.8,F,Normal
142.2,F,Normal
142.6,J,Normal
143,J,Normal
143.4,K,Normal
143.8,K,Normal
144.6,Space,Normal
144.6,J,Normal
145,D,Normal
145,F,Normal
145.8,Space,Normal
146.2,J,Normal
146.6,Space,Normal
147,J,Normal
147.4,Space,Normal
147.8,F,Normal
148.2,Space,Normal
148.6,F,Normal
149,D,Normal
149.4,K,Normal
149.8,Space,Normal
150.2,D,Normal
150.2,F,Normal
150.2,J,Normal
150.6,F,Normal
150.6,J,Normal
150.6,K,Normal
152,Space,Normal
152,F,Normal
152,J,Normal
152.4,Space,Normal
152.4,F,Normal
152.4,J,Normal
152.8,D,Normal
153.2,F,Normal
153.6,Space,Normal
154,J,Normal
154.4,K,Normal
154.8,Space,Normal
155.2,Space,Normal
155.6,F,Normal
156,F,Normal
156.4,J,Normal
156.8,J,Normal
157.2,K,Normal
157.6,K,Normal
